ID	Sex	Group	Year	Family	Sire	Dam	Group2	Age	Tag_weight	Tag_length	Mortal_Age	Mortal_bin	Mortal_DDM	Mortal_weight
CD2011000389	I	48	2011	CD20110099	NL2008000047	CD2008003516	TK00210048I	200	7.8	8.7	471	1	24	169
CD2011000390	I	48	2011	CD20110099	NL2008000047	CD2008003516	TK00210048I	200	7.4	8.4	471	1	16	181
CD2011000397	I	48	2011	CD20110099	NL2008000047	CD2008003516	TK00210048I	200	7.8	9	471	1	17	198
CD2011000398	I	48	2011	CD20110099	NL2008000047	CD2008003516	TK00210048I	200	5.9	8.2	471	1	18	169
CD2011000400	I	48	2011	CD20110099	NL2008000047	CD2008003516	TK00210048I	200	7.5	8.5	471	1	19	211
CD2011000406	I	48	2011	CD20110099	NL2008000047	CD2008003516	TK00210048I	200	7.4	8.5	471	1	24	133
CD2011000411	I	48	2011	CD20110099	NL2008000047	CD2008003516	TK00210048I	200	10.9	11	471	1	15	232
CD2011000412	I	48	2011	CD20110099	NL2008000047	CD2008003516	TK00210048I	200	9.8	9.5	471	1	18	171
CD2011000601	I	48	2011	CD20110045	NL2008000020	CD2008006663	TK00210048I	201	6.8	8.6	472	2	32	220
CD2011000605	I	48	2011	CD20110045	NL2008000020	CD2008006663	TK00210048I	201	7.3	8.6	472	1	19	141
CD2011000608	I	48	2011	CD20110045	NL2008000020	CD2008006663	TK00210048I	201	8.4	8.5	472	2	32	196
CD2011000609	I	48	2011	CD20110045	NL2008000020	CD2008006663	TK00210048I	201	6.4	8.3	472	2	32	184
CD2011000610	I	48	2011	CD20110045	NL2008000020	CD2008006663	TK00210048I	201	7.8	9	472	2	32	216
CD2011000775	I	48	2011	CD20110055	NL2008000023	CD2008004302	TK00210048I	200	9.2	8.7	471	2	32	151
CD2011000781	I	48	2011	CD20110055	NL2008000023	CD2008004302	TK00210048I	200	9.6	9.2	471	1	24	238
CD2011000818	I	48	2011	CD20110055	NL2008000023	CD2008004302	TK00210048I	200	7.4	8.5	471	2	32	276
CD2011000820	I	48	2011	CD20110055	NL2008000023	CD2008004302	TK00210048I	200	7.5	8.6	471	2	32	269
CD2011000821	I	48	2011	CD20110055	NL2008000023	CD2008004302	TK00210048I	200	5.9	7.8	471	2	32	113
